,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
233,1.5342699999999994,0.75868,0.3847499999999986,0.2797600000000013,0.5998816,2.100343,2.17046,2.246495,2.272761,2.300881,8.516161,7.908224,7.763784,18.04574,16.92121,16.79367,spiral
234,1.2278400000000005,0.7657899999999991,0.4595899999999986,0.2519799999999996,0.595955,2.125527,2.30632,2.31041,2.293457,2.245027,1.56568,1.856504,1.630316,7.201981,6.23938,5.902073,merger
235,1.2253299999999996,0.5683600000000002,0.3810000000000002,0.2894100000000001,0.5384037,2.297509,2.364565,2.345443,2.361897,2.315358,2.870364,3.978974,2.919336,8.273991,12.23954,9.334108,merger
236,1.1842299999999994,0.3896700000000006,0.2432099999999994,0.1228499999999996,0.6862378,2.231412,2.318499,2.376621,2.399017,2.415953,6.068575,7.267944,5.460333,10.27124,15.3205,10.2406,spiral
237,1.852699999999999,0.8085000000000004,0.3950499999999994,0.3007000000000008,0.9041197,2.37778,2.454148,2.479354,2.459246,2.464902,4.437196,3.845906,3.637085,13.82267,12.42157,11.8471,elliptical
238,1.9412199999999995,1.0102200000000003,0.5378000000000007,0.4484899999999996,0.6199767,2.406057,2.656913,2.52771,2.52276,2.526171,12.71652,9.090348,8.257838,29.64742,21.84593,21.49316,merger
239,1.6316300000000012,0.8776599999999988,0.534670000000002,0.3424099999999992,0.5766756,2.510563,2.333249,2.308224,2.365023,2.330076,2.034666,2.436617,2.28436,4.147052,7.024565,6.914981,merger
240,1.90766,1.1544199999999982,0.456669999999999,0.3834500000000016,0.9097728,1.85891,2.305644,2.30805,2.320507,2.318902,4.946279,2.578668,2.483725,10.83422,8.232145,7.681917,elliptical
241,1.5183400000000002,0.6470500000000001,0.3406699999999993,0.2450600000000005,0.8586115,1.90373,2.383673,2.456968,2.488887,2.488973,10.62418,7.594413,6.182536,27.61425,18.61162,14.23662,spiral
242,1.5239599999999989,0.6261700000000001,0.340580000000001,0.2153200000000001,0.8767955,2.203575,2.323762,2.367893,2.403771,2.445235,3.390103,3.44784,3.409774,7.231434,8.8537,9.309018,spiral
243,1.3709500000000006,0.7012199999999993,0.3782899999999998,0.2253000000000007,0.7499992,2.162536,2.223279,2.379067,2.424342,2.493157,5.572393,4.545892,3.657444,9.572626,9.566641,7.318145,spiral
